from,to,position,confidence_before,confidence_after
2,1,592,0.9999999948432716,0.9999999999993179
1,2,593,0.9999999999993179,0.9993594710335475
2,1,594,0.9993594710335475,0.9999999999893525
1,2,595,0.9999999999893525,0.9999992118664324
2,1,601,0.9999999997736868,0.9999997136656448
1,2,603,1.0,0.9999977606011746
2,1,622,0.9999999690449433,1.0
1,2,623,1.0,0.9999999998026556
2,1,642,0.9999773357289626,0.9999999827759912
1,2,643,0.9999999827759912,0.9998147568267232
2,1,647,0.9999999999998543,0.5155957671464885
1,2,648,0.5155957671464885,0.9999836176484704
2,1,653,0.9999774414882622,0.9999999999999405
1,2,654,0.9999999999999405,0.9999999319979042
2,1,655,0.9999999319979042,0.999999999996156
1,2,656,0.999999999996156,0.9999342312919646
2,1,657,0.9999342312919646,0.9999543566632058
1,2,658,0.9999543566632058,0.9999999998528004
2,1,659,0.9999999998528004,1.0
1,2,661,0.9999956383239252,0.9999999245360052
2,1,662,0.9999999245360052,1.0
1,2,663,1.0,0.9999999992919992
2,0,672,0.9999993711956657,1.0
0,2,673,1.0,0.9999999980772216
2,1,684,0.9999988273438324,0.999858640716594
1,2,685,0.999858640716594,0.9999997407629965
2,1,688,0.9999999995520312,0.9999992647938696
1,2,689,0.9999992647938696,0.9999499356691305
2,1,694,0.9999199788341631,0.9999999990687041
1,2,695,0.9999999990687041,0.9999773627726973
2,1,701,0.9157001979862593,1.0
1,2,703,0.9999999995670912,0.9999999022102463
2,0,708,0.9999989570002302,1.0
0,2,709,1.0,0.999999698093329
2,0,710,0.999999698093329,1.0
0,2,711,1.0,0.999999998176456
2,0,712,0.999999998176456,1.0
0,2,713,1.0,0.9999951055413038
2,0,715,0.99999962608135,1.0
0,3,716,1.0,1.0
3,2,717,1.0,0.9999789410286037
2,1,721,0.9999002597024589,1.0
1,2,723,0.9999999999999858,0.9999999999238085
2,0,726,0.9999975766496707,1.0
0,2,727,1.0,0.999896840513198
2,1,744,0.9689305062111535,0.9999999999999956
1,2,745,0.9999999999999956,0.9999999999168772
2,1,761,0.9999999919373224,1.0
1,2,762,1.0,0.9999999973111748
2,1,790,0.99999993451997,1.0
1,0,792,1.0,1.0
0,2,793,1.0,0.9999831965374304
2,1,800,0.9999999995719797,0.999999999999976
1,2,801,0.999999999999976,0.9998033301428668
2,1,802,0.9998033301428668,0.9999999990430535
1,2,804,0.999999999999039,0.9999999998325393
2,1,813,0.9999823470164174,0.9999999999893578
1,0,815,0.9999992590581668,1.0
0,2,816,1.0,0.9999305437536387
2,1,818,0.9999999552570077,1.0
1,2,820,0.9999999999997939,0.9988518047844634
2,0,827,0.9999977836522594,1.0
0,2,829,1.0,0.9999999965783459
2,0,831,0.9999999972791862,1.0
0,2,832,1.0,0.9999999641220583
2,1,842,0.9999999999154028,1.0
1,2,843,1.0,0.9999837148285307
2,1,846,0.9999860388616315,0.9999999922545904
1,2,847,0.9999999922545904,0.9999999997779412
2,3,850,0.9999980110988947,1.0
3,2,851,1.0,0.999999775892846
2,1,855,0.9999999483366024,1.0
1,2,858,0.999999999454495,0.9999993692838913
