from,to,position,confidence_before,confidence_after
2,4,157,1.0,0.9999999999553726
4,1,158,0.9999999999553726,1.0
1,3,162,1.0,1.0
3,1,163,1.0,1.0
1,3,166,1.0,1.0
3,4,167,1.0,0.9999999999997975
4,2,169,0.9999999987809378,1.0
2,3,170,1.0,0.9998107735931449
3,4,171,0.9998107735931449,0.9999999999999396
4,2,172,0.9999999999999396,1.0
2,4,173,1.0,1.0
4,1,176,0.9999407944038344,1.0
1,2,177,1.0,1.0
2,1,178,1.0,1.0
1,4,182,1.0,1.0
4,1,183,1.0,1.0
1,3,187,1.0,1.0
3,1,188,1.0,1.0
1,3,192,1.0,0.9999999992309583
3,1,193,0.9999999992309583,1.0
1,4,194,1.0,0.9999999999999947
4,1,195,0.9999999999999947,1.0
1,3,202,1.0,0.9999995763564529
3,4,204,0.9999999999249325,0.9999999999874021
4,1,205,0.9999999999874021,1.0
1,3,206,1.0,1.0
3,1,207,1.0,1.0
1,0,212,1.0,1.0
0,1,215,1.0,1.0
1,4,235,1.0,0.9999999875618394
4,0,236,0.9999999875618394,1.0
0,4,237,1.0,0.9999996586375325
4,1,238,0.9999996586375325,1.0
1,2,248,1.0,1.0
2,4,251,1.0,1.0
4,2,252,1.0,1.0
2,1,254,1.0,1.0
1,4,255,1.0,1.0
4,1,257,1.0,1.0
1,3,258,1.0,0.9997639010724115
3,1,259,0.9997639010724115,1.0
1,0,260,1.0,1.0
0,1,262,1.0,1.0
1,0,266,1.0,1.0
0,1,267,1.0,1.0
1,4,268,1.0,1.0
4,1,269,1.0,1.0
1,4,271,1.0,0.9999998902969203
4,3,277,0.9999999999981295,0.9999995944506835
3,1,278,0.9999995944506835,1.0
1,0,285,1.0,1.0
0,1,286,1.0,1.0
1,0,300,1.0,1.0
0,1,301,1.0,1.0
1,0,306,1.0,1.0
0,1,307,1.0,1.0
1,2,315,1.0,1.0
2,1,316,1.0,1.0
1,4,319,1.0,0.9999999999982645
4,1,320,0.9999999999982645,1.0
1,0,322,1.0,1.0
0,1,323,1.0,1.0
1,4,325,1.0,0.9999999993148752
4,1,328,0.9999999999999947,1.0
1,4,337,1.0,0.9999995687181389
4,2,338,0.9999995687181389,1.0
2,4,339,1.0,0.9999999989077821
4,2,340,0.9999999989077821,1.0
2,1,341,1.0,1.0
1,4,342,1.0,0.9999999999718785
4,2,347,1.0,0.9999999157783002
2,4,348,0.9999999157783002,0.9999999999993481
4,1,349,0.9999999999993481,1.0
1,2,350,1.0,1.0
2,3,351,1.0,0.996388441564765
3,4,353,0.9999999999978586,1.0
4,3,358,0.9999999999759144,0.9999962149176098
3,4,359,0.9999962149176098,1.0
4,3,360,1.0,0.9999999993311541
3,4,361,0.9999999993311541,1.0
4,2,372,0.9999999999999982,1.0
2,3,374,0.9999703203490214,0.9999999546866315
3,4,375,0.9999999546866315,1.0
4,0,381,1.0,1.0
0,1,382,1.0,1.0
1,0,387,1.0,1.0
0,1,388,1.0,1.0
1,0,394,1.0,1.0
0,1,395,1.0,1.0
1,0,396,1.0,1.0
0,1,397,1.0,1.0
1,0,398,1.0,1.0
0,2,400,1.0,1.0
2,1,402,1.0,1.0
1,4,404,1.0,0.9999999999051941
4,2,409,1.0,1.0
2,4,410,1.0,1.0
4,2,411,1.0,0.9997281132019517
2,4,412,0.9997281132019517,1.0
4,2,414,1.0,1.0
2,4,415,1.0,0.999999999999936
4,1,417,0.9999999999999902,1.0
1,4,418,1.0,1.0
4,2,420,1.0,0.9999628164261304
2,4,421,0.9999628164261304,1.0
4,0,423,1.0,1.0
0,4,424,1.0,1.0
4,1,430,0.9999999999999378,1.0
1,4,431,1.0,0.9999999997855653
4,1,435,1.0,1.0
1,4,438,1.0,0.999999999962224
4,1,439,0.999999999962224,1.0
1,2,442,1.0,1.0
2,4,443,1.0,0.9999999999917133
4,1,444,0.9999999999917133,1.0
1,4,446,1.0,0.9999999999999449
4,3,447,0.9999999999999449,0.9981309591622601
3,4,448,0.9981309591622601,0.9999999999996962
4,3,450,0.9999999999832472,0.9999973932137647
3,1,451,0.9999973932137647,1.0
1,4,452,1.0,1.0
4,1,454,1.0,1.0
1,4,455,1.0,1.0
